slug,scientific_name,common_name,genus,family
abies-balsamea,Abies balsamea,Canada balsam,Abies,Pinaceae
abrus-precatorius,Abrus precatorius,Indian-licorice,Abrus,Fabaceae
abutilon-indicum,Abutilon indicum,Indian abutilon,Abutilon,Malvaceae
acanthus-mollis,Acanthus mollis,Bear's-breeches,Acanthus,Acanthaceae
achillea-millefolium,Achillea millefolium,Milfoil,Achillea,Asteraceae
achyranthes-bidentata,Achyranthes bidentata,Nui xi,Achyranthes,Amaranthaceae
aconitum-napellus,Aconitum napellus,Turk's-cap,Aconitum,Ranunculaceae
acorus-calamus,Acorus calamus,Calamus,Acorus,Acoraceae
adiantum-capillus-veneris,Adiantum capillus-veneris,Maidenhair fern,Adiantum,Pteridaceae
adonis-vernalis,Adonis vernalis,Spring adonis,Adonis,Ranunculaceae
aegle-marmelos,Aegle marmelos,Bila,Aegle,Rutaceae
aesculus-hippocastanum,Aesculus hippocastanum,Horse-chestnut,Aesculus,Sapindaceae
agastache-rugosa,Agastache rugosa,Chinese giant-hyssop,Agastache,Lamiaceae
agave-americana,Agave americana,American agave,Agave,Asparagaceae
agrimonia-eupatoria,Agrimonia eupatoria,Agrimony,Agrimonia,Rosaceae
ailanthus-altissima,Ailanthus altissima,Varnishtree,Ailanthus,Simaroubaceae
ajuga-reptans,Ajuga reptans,Ajuga,Ajuga,Lamiaceae
alchemilla-vulgaris,Alchemilla vulgaris,,Alchemilla,Rosaceae
aletris-farinosa,Aletris farinosa,Agueroot,Aletris,Nartheciaceae
allium-cepa,Allium cepa,Shallot,Allium,Amaryllidaceae
allium-sativum,Allium sativum,Garlic,Allium,Amaryllidaceae
allium-ursinum,Allium ursinum,Bear garlic,Allium,Amaryllidaceae
aloe-vera,Aloe vera,Barbados aloe,Aloe,Asphodelaceae
alpinia-officinarum,Alpinia officinarum,Chinese-ginger,Alpinia,Zingiberaceae
alstonia-constricta,Alstonia constricta,,Alstonia,Apocynaceae
amaranthus-hypochondriacus,Amaranthus hypochondriacus,Prince's-feather,Amaranthus,Amaranthaceae
ammi-majus,Ammi majus,Bishop's-weed,Ammi,Apiaceae
anacardium-occidentale,Anacardium occidentale,Cashew,Anacardium,Anacardiaceae
anacyclus-pyrethrum,Anacyclus pyrethrum,Atlas daisy,Anacyclus,Asteraceae
anamirta-cocculus,Anamirta cocculus,,Anamirta,Menispermaceae
ananas-comosus,Ananas comosus,Pineapple,Ananas,Bromeliaceae
anemarrhena-asphodeloides,Anemarrhena asphodeloides,,Anemarrhena,Asparagaceae
anethum-graveolens,Anethum graveolens,Garden dill,Anethum,Apiaceae
angelica-archangelica,Angelica archangelica,Garden angelica,Angelica,Apiaceae
angelica-dahurica,Angelica dahurica,Dahurian angelica,Angelica,Apiaceae
angelica-sinensis,Angelica sinensis,,Angelica,Apiaceae
annona-squamosa,Annona squamosa,Custard-apple,Annona,Annonaceae
anthemis-cotula,Anthemis cotula,Foetid chamomile,Anthemis,Asteraceae
anthriscus-cerefolium,Anthriscus cerefolium,Chervil,Anthriscus,Apiaceae
aphanes-arvensis,Aphanes arvensis,Field parsley piert,Aphanes,Rosaceae
apium-graveolens,Apium graveolens,Celery,Apium,Apiaceae
aralia-racemosa,Aralia racemosa,Indianroot,Aralia,Araliaceae
arbutus-unedo,Arbutus unedo,Irish strawberry-tree,Arbutus,Ericaceae
arctium-lappa,Arctium lappa,Beggar's-buttons,Arctium,Asteraceae
arctostaphylos-uva-ursi,Arctostaphylos uva-ursi,Bear-grape,Arctostaphylos,Ericaceae
argemone-mexicana,Argemone mexicana,Bermuda thistle,Argemone,Papaveraceae
