slug,scientific_name,common_name,genus,family
arisaema-amurense,Arisaema amurense,,Arisaema,Araceae
aristolochia-clematitis,Aristolochia clematitis,Birthwort,Aristolochia,Aristolochiaceae
armoracia-rusticana,Armoracia rusticana,Horse-radish,Armoracia,Brassicaceae
arnica-montana,Arnica montana,European arnica,Arnica,Asteraceae
artemisia-abrotanum,Artemisia abrotanum,Old-man,Artemisia,Asteraceae
artemisia-absinthium,Artemisia absinthium,Absinthe,Artemisia,Asteraceae
artemisia-annua,Artemisia annua,Annual wormwood,Artemisia,Asteraceae
artemisia-capillaris,Artemisia capillaris,,Artemisia,Asteraceae
artemisia-cina,Artemisia cina,,Artemisia,Asteraceae
artemisia-dracunculus,Artemisia dracunculus,Russian tarragon,Artemisia,Asteraceae
artemisia-vulgaris,Artemisia vulgaris,Felonherb,Artemisia,Asteraceae
asclepias-tuberosa,Asclepias tuberosa,Pleurisy-root,Asclepias,Apocynaceae
aspalathus-linearis,Aspalathus linearis,Rooibos,Aspalathus,Fabaceae
asparagus-officinalis,Asparagus officinalis,Asparagus,Asparagus,Asparagaceae
asparagus-racemosus,Asparagus racemosus,Asparagus-fern,Asparagus,Asparagaceae
aspidosperma-quebracho-blanco,Aspidosperma quebracho-blanco,Kebrako,Aspidosperma,Apocynaceae
atractylodes-macrocephala,Atractylodes macrocephala,,Atractylodes,Asteraceae
atropa-belladonna,Atropa belladonna,,Atropa,Solanaceae
avena-sativa,Avena sativa,Red oat,Avena,Poaceae
azadirachta-indica,Azadirachta indica,Neem,Azadirachta,Meliaceae
bacopa-monnieri,Bacopa monnieri,Herb of grace,Bacopa,Plantaginaceae
ballota-nigra,Ballota nigra,Black horehound,Ballota,Lamiaceae
banisteriopsis-caapi,Banisteriopsis caapi,Ayahuasca,Banisteriopsis,Malpighiaceae
baptisia-tinctoria,Baptisia tinctoria,Horseflyweed,Baptisia,Fabaceae
benincasa-hispida,Benincasa hispida,Chinese-watermelon,Benincasa,Cucurbitaceae
berberis-aquifolium,Berberis aquifolium,Mountain-grape,Berberis,Berberidaceae
berberis-vulgaris,Berberis vulgaris,European barberry,Berberis,Berberidaceae
beta-vulgaris,Beta vulgaris,Beet,Beta,Amaranthaceae
betula-pendula,Betula pendula,European white birch,Betula,Betulaceae
bidens-tripartita,Bidens tripartita,Trifid bur-marigold,Bidens,Asteraceae
bixa-orellana,Bixa orellana,Arnatto,Bixa,Bixaceae
borago-officinalis,Borago officinalis,Beebread,Borago,Boraginaceae
boswellia-serrata,Boswellia serrata,Boswellia,Boswellia,Burseraceae
brassica-oleracea,Brassica oleracea,Cabbage,Brassica,Brassicaceae
bryonia-dioica,Bryonia dioica,,Bryonia,Cucurbitaceae
bupleurum-chinense,Bupleurum chinense,,Bupleurum,Apiaceae
butea-monosperma,Butea monosperma,Bengal kino,Butea,Fabaceae
calendula-officinalis,Calendula officinalis,Calendula,Calendula,Asteraceae
calluna-vulgaris,Calluna vulgaris,Heather,Calluna,Ericaceae
camellia-sinensis,Camellia sinensis,Black tea,Camellia,Theaceae
cananga-odorata,Cananga odorata,Macassar oiltree,Cananga,Annonaceae
canella-winterana,Canella winterana,Canella,Canella,Canellaceae
cannabis-sativa,Cannabis sativa,Hemp,Cannabis,Cannabaceae
capparis-spinosa,Capparis spinosa,,Capparis,Capparaceae
capsella-bursa-pastoris,Capsella bursa-pastoris,Shepherd's-purse,Capsella,Brassicaceae
capsicum-annuum,Capsicum annuum,Red capsicum,Capsicum,Solanaceae
Cardiospermum ,Balloon Vine ,
carica-papaya,Carica papaya,Pawpaw,Carica,Caricaceae
carthamus-tinctorius,Carthamus tinctorius,Dyer's-saffron,Carthamus,Asteraceae
carum-carvi,Carum carvi,Caraway,Carum,Apiaceae
castanea-sativa,Castanea sativa,European chestnut,Castanea,Fagaceae
catha-edulis,Catha edulis,Khat,Catha,Celastraceae
caulophyllum-thalictroides,Caulophyllum thalictroides,Papooseroot,Caulophyllum,Berberidaceae
cedrus-libani,Cedrus libani,Cedar of lebanon,Cedrus,Pinaceae
celtis-australis,Celtis australis,European hackberry,Celtis,Cannabaceae
centaurea-cyanus,Centaurea cyanus,,Centaurea,Asteraceae
centella-asiatica,Centella asiatica,Marsh pennywort,Centella,Apiaceae
chamaemelum-nobile,Chamaemelum nobile,Roman chamomile,Chamaemelum,Asteraceae
chelidonium-majus,Chelidonium majus,Celandine,Chelidonium,Papaveraceae
chelone-glabra,Chelone glabra,Balmony,Chelone,Plantaginaceae
chimaphila-umbellata,Chimaphila umbellata,Pipsissewa,Chimaphila,Ericaceae
chionanthus-virginicus,Chionanthus virginicus,American fringetree,Chionanthus,Oleaceae
chondrodendron-tomentosum,Chondrodendron tomentosum,Pareira,Chondrodendron,Menispermaceae
chrysanthemum-morifolium,Chrysanthemum morifolium,,Chrysanthemum,Asteraceae
cichorium-intybus,Cichorium intybus,Belgium endive,Cichorium,Asteraceae
cinchona-officinalis,Cinchona officinalis,,Cinchona,Rubiaceae
cinnamomum-camphora,Cinnamomum camphora,Camphortree,Cinnamomum,Lauraceae
cinnamomum-verum,Cinnamomum verum,Cinnamon,Cinnamomum,Lauraceae
citrus-limon,Citrus limon,,Citrus,Rutaceae
clerodendrum-trichotomum,Clerodendrum trichotomum,Glorytree,Clerodendrum,Lamiaceae
cochlearia-officinalis,Cochlearia officinalis,Scurvy-grass,Cochlearia,Brassicaceae
cocos-nucifera,Cocos nucifera,Coconut,Cocos,Arecaceae
codonopsis-pilosula,Codonopsis pilosula,,Codonopsis,Campanulaceae
coffea-arabica,Coffea arabica,Arabian coffee,Coffea,Rubiaceae
cola-acuminata,Cola acuminata,Abata cola,Cola,Malvaceae
colchicum-autumnale,Colchicum autumnale,Colchicum,Colchicum,Colchicaceae
coleus-forskohlii,Coleus forskohlii,,Coleus,Lamiaceae
collinsonia-canadensis,Collinsonia canadensis,Northern horsebalm,Collinsonia,Lamiaceae
commiphora-mukul,Commiphora mukul,,Commiphora,Burseraceae
conium-maculatum,Conium maculatum,Carrot-fern,Conium,Apiaceae
convallaria-majalis,Convallaria majalis,Lily-of-the-valley,Convallaria,Asparagaceae
copaifera-officinalis,Copaifera officinalis,Copaiba,Copaifera,Fabaceae
coptis-chinensis,Coptis chinensis,,Coptis,Ranunculaceae
coptis-trifolia,Coptis trifolia,American goldthread,Coptis,Ranunculaceae
coriandrum-sativum,Coriandrum sativum,Chinese-parsley,Coriandrum,Apiaceae
cornus-officinalis,Cornus officinalis,Japanese cornel,Cornus,Cornaceae
corydalis-yanhusuo,Corydalis yanhusuo,,Corydalis,Papaveraceae
crithmum-maritimum,Crithmum maritimum,,Crithmum,Apiaceae
croton-lechleri,Croton lechleri,Dragon's blood,Croton,Euphorbiaceae
cucurbita-pepo,Cucurbita pepo,Bitter bottle gourd,Cucurbita,Cucurbitaceae
cuminum-cyminum,Cuminum cyminum,Cumin,Cuminum,Apiaceae
cupressus-sempervirens,Cupressus sempervirens,Mediterranean cypress,Cupressus,Cupressaceae
curcuma-longa,Curcuma longa,Indian-saffron,Curcuma,Zingiberaceae
curcuma-zedoaria,Curcuma zedoaria,Zedoary,Curcuma,Zingiberaceae
cuscuta-epithymum,Cuscuta epithymum,Clover dodder,Cuscuta,Convolvulaceae
cydonia-oblonga,Cydonia oblonga,Quince,Cydonia,Rosaceae
cymbopogon-citratus,Cymbopogon citratus,Lemongrass,Cymbopogon,Poaceae
cyperus-esculentus,Cyperus esculentus,Earth-almond,Cyperus,Cyperaceae
cytisus-scoparius,Cytisus scoparius,European broom,Cytisus,Fabaceae
daphne-mezereum,Daphne mezereum,Mezereon,Daphne,Thymelaeaceae
datura-stramonium,Datura stramonium,Thorn-apple,Datura,Solanaceae
daucus-carota,Daucus carota,Carrot,Daucus,Apiaceae
dianthus-superbus,Dianthus superbus,Fringed pink,Dianthus,Caryophyllaceae
dictamnus-albus,Dictamnus albus,Burningbush,Dictamnus,Rutaceae
digitalis-lutea,Digitalis lutea,Straw foxglove,Digitalis,Plantaginaceae
dioscorea-villosa,Dioscorea villosa,Wild yam,Dioscorea,Dioscoreaceae
dipsacus-fullonum,Dipsacus fullonum,Common teasel,Dipsacus,Caprifoliaceae
dorstenia-contrajerva,Dorstenia contrajerva,Snakewort,Dorstenia,Moraceae
drosera-rotundifolia,Drosera rotundifolia,Round-leaf sundew,Drosera,Droseraceae
echinacea-purpurea,Echinacea purpurea,Eastern purple-coneflower,Echinacea,Asteraceae
echium-vulgare,Echium vulgare,Blue echium,Echium,Boraginaceae
eclipta-prostrata,Eclipta prostrata,White twinheads,Eclipta,Asteraceae
elettaria-cardamomum,Elettaria cardamomum,Cardamom,Elettaria,Zingiberaceae
eleutherococcus-senticosus,Eleutherococcus senticosus,Siberian-ginseng,Eleutherococcus,Araliaceae
embelia-ribes,Embelia ribes,Vidanga,Embelia,Primulaceae
entada-phaseoloides,Entada phaseoloides,Matchbox-bean,Entada,Fabaceae
ephedra-sinica,Ephedra sinica,Chinese ephedra,Ephedra,Ephedraceae
equisetum-arvense,Equisetum arvense,Common horsetail,Equisetum,Equisetaceae
eriodictyon-californicum,Eriodictyon californicum,,Eriodictyon,Boraginaceae
eryngium-maritimum,Eryngium maritimum,Eryngo,Eryngium,Apiaceae
erythrina-variegata,Erythrina variegata,Coraltree,Erythrina,Fabaceae
erythronium-americanum,Erythronium americanum,Trout-lily,Erythronium,Liliaceae
erythroxylum-coca,Erythroxylum coca,Coca,Erythroxylum,Erythroxylaceae
eschscholzia-californica,Eschscholzia californica,California-poppy,Eschscholzia,Papaveraceae
eucalyptus-globulus,Eucalyptus globulus,Blue gum,Eucalyptus,Myrtaceae
eucalyptus-smithii,Eucalyptus smithii,,Eucalyptus,Myrtaceae
eucommia-ulmoides,Eucommia ulmoides,Eucommia,Eucommia,Eucommiaceae
euonymus-atropurpureus,Euonymus atropurpureus,Bitter-ash,Euonymus,Celastraceae
eupatorium-cannabinum,Eupatorium cannabinum,Hemp-agrimony,Eupatorium,Asteraceae
eupatorium-perfoliatum,Eupatorium perfoliatum,Boneset,Eupatorium,Asteraceae
euphorbia-hirta,Euphorbia hirta,Asthmaplant,Euphorbia,Euphorbiaceae
euphorbia-pekinensis,Euphorbia pekinensis,,Euphorbia,Euphorbiaceae
euphrasia-officinalis,Euphrasia officinalis,,Euphrasia,Orobanchaceae
euterpe-oleracea,Euterpe oleracea,Assai palm,Euterpe,Arecaceae
fagopyrum-esculentum,Fagopyrum esculentum,Silverhull buckwheat,Fagopyrum,Polygonaceae
ferula-assa-foetida,Ferula assa-foetida,Assa-foetida,Ferula,Apiaceae
ferula-gummosa,Ferula gummosa,,Ferula,Apiaceae
ficus-benghalensis,Ficus benghalensis,,Ficus,Moraceae
filipendula-ulmaria,Filipendula ulmaria,Meadowsweet,Filipendula,Rosaceae
foeniculum-vulgare,Foeniculum vulgare,Fennel,Foeniculum,Apiaceae
forsythia-suspensa,Forsythia suspensa,Forsythia,Forsythia,Oleaceae
fragaria-vesca,Fragaria vesca,Alpine strawberry,Fragaria,Rosaceae
fraxinus-excelsior,Fraxinus excelsior,European ash,Fraxinus,Oleaceae
fumaria-officinalis,Fumaria officinalis,Common fumitory,Fumaria,Papaveraceae
galega-officinalis,Galega officinalis,Goat's-rue,Galega,Fabaceae
galium-aparine,Galium aparine,Cleavers,Galium,Rubiaceae
galium-verum,Galium verum,Yellow bedstraw,Galium,Rubiaceae
gardenia-jasminoides,Gardenia jasminoides,Cape jasmine,Gardenia,Rubiaceae
gaultheria-procumbens,Gaultheria procumbens,Checkerberry,Gaultheria,Ericaceae
gelsemium-sempervirens,Gelsemium sempervirens,Carolina-jasmine,Gelsemium,Gelsemiaceae
gentiana-lutea,Gentiana lutea,Great yellow gentian,Gentiana,Gentianaceae
geranium-maculatum,Geranium maculatum,Spotted geranium,Geranium,Geraniaceae
geranium-robertianum,Geranium robertianum,Mountain geranium,Geranium,Geraniaceae
geum-urbanum,Geum urbanum,Bennet's-root,Geum,Rosaceae
ginkgo-biloba,Ginkgo biloba,Ginkgo,Ginkgo,Ginkgoaceae
glechoma-hederacea,Glechoma hederacea,Gill-over-the-ground,Glechoma,Lamiaceae
glycine-max,Glycine max,Soya,Glycine,Fabaceae
glycyrrhiza-glabra,Glycyrrhiza glabra,Licorice,Glycyrrhiza,Fabaceae
gnaphalium-uliginosum,Gnaphalium uliginosum,Marsh cudweed,Gnaphalium,Asteraceae
gossypium-herbaceum,Gossypium herbaceum,Arabian cotton,Gossypium,Malvaceae
guaiacum-officinale,Guaiacum officinale,Guaiacum,Guaiacum,Zygophyllaceae
gymnema-sylvestre,Gymnema sylvestre,,Gymnema,Apocynaceae
hamamelis-virginiana,Hamamelis virginiana,Witch-hazel,Hamamelis,Hamamelidaceae
harpagophytum-procumbens,Harpagophytum procumbens,,Harpagophytum,Pedaliaceae
hedera-helix,Hedera helix,Ivy,Hedera,Araliaceae
herniaria-glabra,Herniaria glabra,Herniary breastwort,Herniaria,Caryophyllaceae
hibiscus-sabdariffa,Hibiscus sabdariffa,Indian-sorrel,Hibiscus,Malvaceae
hippophae-rhamnoides,Hippophae rhamnoides,,Hippophae,Elaeagnaceae
hoodia-gordonii,Hoodia gordonii,Ghaap,Hoodia,Apocynaceae
hordeum-vulgare,Hordeum vulgare,Barley,Hordeum,Poaceae
humulus-lupulus,Humulus lupulus,Bine,Humulus,Cannabaceae
hydrangea-arborescens,Hydrangea arborescens,Sevenbark,Hydrangea,Hydrangeaceae
hydrastis-canadensis,Hydrastis canadensis,Goldenseal,Hydrastis,Ranunculaceae
hyoscyamus-niger,Hyoscyamus niger,Common henbane,Hyoscyamus,Solanaceae
hypericum-perforatum,Hypericum perforatum,Klamathweed,Hypericum,Hypericaceae
hyssopus-officinalis,Hyssopus officinalis,Hyssop,Hyssopus,Lamiaceae
ilex-paraguariensis,Ilex paraguariensis,Brazilian-tea,Ilex,Aquifoliaceae
illicium-verum,Illicium verum,Chinese star-anise,Illicium,Schisandraceae
inula-helenium,Inula helenium,Elecampane,Inula,Asteraceae
ipomoea-purga,Ipomoea purga,,Ipomoea,Convolvulaceae
iris-versicolor,Iris versicolor,Blue flag,Iris,Iridaceae
jasminum-grandiflorum,Jasminum grandiflorum,Catalonian jasmine,Jasminum,Oleaceae
jateorhiza-palmata,Jateorhiza palmata,,Jateorhiza,Menispermaceae
juglans-cinerea,Juglans cinerea,White walnut,Juglans,Juglandaceae
juniperus-communis,Juniperus communis,Common juniper,Juniperus,Cupressaceae
lactuca-virosa,Lactuca virosa,Bitter lettuce,Lactuca,Asteraceae
lamium-album,Lamium album,White dead-nettle,Lamium,Lamiaceae
larix-decidua,Larix decidua,European larch,Larix,Pinaceae
larrea-tridentata,Larrea tridentata,Creosote bush,Larrea,Zygophyllaceae
laurus-nobilis,Laurus nobilis,Sweet bay,Laurus,Lauraceae
lavandula-angustifolia,Lavandula angustifolia,Lavender,Lavandula,Lamiaceae
lawsonia-inermis,Lawsonia inermis,Egyptian-privet,Lawsonia,Lythraceae
leonurus-cardiaca,Leonurus cardiaca,Motherwort,Leonurus,Lamiaceae
lepidium-virginicum,Lepidium virginicum,Least pepperwort,Lepidium,Brassicaceae
levisticum-officinale,Levisticum officinale,Garden lovage,Levisticum,Apiaceae
linum-usitatissimum,Linum usitatissimum,Linseed,Linum,Linaceae
lippia-alba,Lippia alba,Bushy lippia,Lippia,Verbenaceae
liquidambar-orientalis,Liquidambar orientalis,Oriental sweet-gum,Liquidambar,Altingiaceae
lobelia-inflata,Lobelia inflata,Indian-tobacco,Lobelia,Campanulaceae
lomatium-dissectum,Lomatium dissectum,,Lomatium,Apiaceae
lonicera-periclymenum,Lonicera periclymenum,Woodbine,Lonicera,Caprifoliaceae
lophophora-williamsii,Lophophora williamsii,Indian-dope,Lophophora,Cactaceae
lycium-chinense,Lycium chinense,Chinese boxthorn,Lycium,Solanaceae
lycopodium-clavatum,Lycopodium clavatum,Ground-pine,Lycopodium,Lycopodiaceae
lycopus-virginicus,Lycopus virginicus,Water horehound,Lycopus,Lamiaceae
lysimachia-vulgaris,Lysimachia vulgaris,Loosestrife,Lysimachia,Primulaceae
lythrum-salicaria,Lythrum salicaria,Purple loosestrife,Lythrum,Lythraceae
madhuca-longifolia,Madhuca longifolia,Mahua,Madhuca,Sapotaceae
magnolia-officinalis,Magnolia officinalis,Magnolia-bark,Magnolia,Magnoliaceae
malva-sylvestris,Malva sylvestris,Blue mallow,Malva,Malvaceae
mandragora-officinarum,Mandragora officinarum,Mandrake,Mandragora,Solanaceae
manihot-esculenta,Manihot esculenta,Cassava,Manihot,Euphorbiaceae
maranta-arundinacea,Maranta arundinacea,Arrowroot,Maranta,Marantaceae
marrubium-vulgare,Marrubium vulgare,Horehound,Marrubium,Lamiaceae
medicago-sativa,Medicago sativa,Alfalfa,Medicago,Fabaceae
melaleuca-alternifolia,Melaleuca alternifolia,Narrow-leaf paperbark,Melaleuca,Myrtaceae
melilotus-officinalis,Melilotus officinalis,Yellow sweetclover,Melilotus,Fabaceae
melissa-officinalis,Melissa officinalis,Balm,Melissa,Lamiaceae
mentha-pulegium,Mentha pulegium,Pennyroyal,Mentha,Lamiaceae
mentha-x-piperita,Mentha × piperita,Peppermint,Mentha,Lamiaceae
menyanthes-trifoliata,Menyanthes trifoliata,Bog-bean,Menyanthes,Menyanthaceae
mitchella-repens,Mitchella repens,Squawvine,Mitchella,Rubiaceae
momordica-charantia,Momordica charantia,Balsam-apple,Momordica,Cucurbitaceae
monarda-punctata,Monarda punctata,Horse-mint,Monarda,Lamiaceae
morinda-citrifolia,Morinda citrifolia,Indian-mulberry,Morinda,Rubiaceae
morus-alba,Morus alba,Russian mulberry,Morus,Moraceae
murraya-koenigii,Murraya koenigii,Curryleaftree,Murraya,Rutaceae
musa-acuminata,Musa acuminata,Cavendish banana,Musa,Musaceae
myrica-cerifera,Myrica cerifera,,Myrica,Myricaceae
myrica-gale,Myrica gale,Bog-myrtle,Myrica,Myricaceae
myristica-fragrans,Myristica fragrans,Mace,Myristica,Myristicaceae
myrtus-communis,Myrtus communis,Myrtle,Myrtus,Myrtaceae
nasturtium-officinale,Nasturtium officinale,Watercress,Nasturtium,Brassicaceae
nepeta-cataria,Nepeta cataria,Catmint,Nepeta,Lamiaceae
nicotiana-tabacum,Nicotiana tabacum,Tobacco,Nicotiana,Solanaceae
nigella-sativa,Nigella sativa,Roman-coriander,Nigella,Ranunculaceae
nymphaea-alba,Nymphaea alba,White water-lily,Nymphaea,Nymphaeaceae
ocimum-basilicum,Ocimum basilicum,Basil,Ocimum,Lamiaceae
ocimum-tenuiflorum,Ocimum tenuiflorum,Sacred basil,Ocimum,Lamiaceae
oenothera-biennis,Oenothera biennis,German-rampion,Oenothera,Onagraceae
olea-europaea,Olea europaea,Olive,Olea,Oleaceae
ononis-spinosa,Ononis spinosa,Thorny restharrow,Ononis,Fabaceae
operculina-turpethum,Operculina turpethum,Transparent wood-rose,Operculina,Convolvulaceae
opuntia-ficus-indica,Opuntia ficus-indica,Indian-fig,Opuntia,Cactaceae
origanum-majorana,Origanum majorana,Pot marjoram,Origanum,Lamiaceae
origanum-vulgare,Origanum vulgare,Wild marjoram,Origanum,Lamiaceae
paeonia-lactiflora,Paeonia lactiflora,Common garden peony,Paeonia,Paeoniaceae
paeonia-officinalis,Paeonia officinalis,Common peony,Paeonia,Paeoniaceae
panax-ginseng,Panax ginseng,Asian ginseng,Panax,Araliaceae
panax-notoginseng,Panax notoginseng,,Panax,Araliaceae
papaver-rhoeas,Papaver rhoeas,Shirley poppy,Papaver,Papaveraceae
papaver-somniferum,Papaver somniferum,Oilseed poppy,Papaver,Papaveraceae
parietaria-officinalis,Parietaria officinalis,Pellitory-of-the-wall,Parietaria,Urticaceae
passiflora-incarnata,Passiflora incarnata,,Passiflora,Passifloraceae
paullinia-cupana,Paullinia cupana,Guarana,Paullinia,Sapindaceae
peganum-harmala,Peganum harmala,Syrian-rue,Peganum,Nitrariaceae
pelargonium-sidoides,Pelargonium sidoides,,Pelargonium,Geraniaceae
persea-americana,Persea americana,Avocado,Persea,Lauraceae
petroselinum-crispum,Petroselinum crispum,Garden parsley,Petroselinum,Apiaceae
peumus-boldus,Peumus boldus,Boldo,Peumus,Monimiaceae
phaseolus-vulgaris,Phaseolus vulgaris,Bean,Phaseolus,Fabaceae
phellodendron-amurense,Phellodendron amurense,Chinese corktree,Phellodendron,Rutaceae
phyllanthus-amarus,Phyllanthus amarus,Carry me seed,Phyllanthus,Phyllanthaceae
phytolacca-americana,Phytolacca americana,Pigeonberry,Phytolacca,Phytolaccaceae
picrasma-excelsa,Picrasma excelsa,Bitter-ash,Picrasma,Simaroubaceae
pimpinella-anisum,Pimpinella anisum,Anise,Pimpinella,Apiaceae
pinguicula-vulgaris,Pinguicula vulgaris,Common butterwort,Pinguicula,Lentibulariaceae
pinus-sylvestris,Pinus sylvestris,Scotch pine,Pinus,Pinaceae
piper-betle,Piper betle,Betel,Piper,Piperaceae
piper-cubeba,Piper cubeba,,Piper,Piperaceae
piper-methysticum,Piper methysticum,Kava,Piper,Piperaceae
piper-nigrum,Piper nigrum,Pepper,Piper,Piperaceae
pistacia-lentiscus,Pistacia lentiscus,Chios mastictree,Pistacia,Anacardiaceae
plantago-lanceolata,Plantago lanceolata,Narrow-leaf plantain,Plantago,Plantaginaceae
plantago-major,Plantago major,Common plantain,Plantago,Plantaginaceae
plumbago-zeylanica,Plumbago zeylanica,Doctorbush,Plumbago,Plumbaginaceae
podophyllum-peltatum,Podophyllum peltatum,Mayapple,Podophyllum,Berberidaceae
pogostemon-cablin,Pogostemon cablin,Patchouli-plant,Pogostemon,Lamiaceae
polygala-senega,Polygala senega,Seneca snakeroot,Polygala,Polygalaceae
polygala-vulgaris,Polygala vulgaris,Common milkwort,Polygala,Polygalaceae
polygonatum-multiflorum,Polygonatum multiflorum,Solomon's-seal,Polygonatum,Asparagaceae
polygonum-aviculare,Polygonum aviculare,Prostrate knotweed,Polygonum,Polygonaceae
polypodium-vulgare,Polypodium vulgare,Common polypody,Polypodium,Polypodiaceae
pomaderris-elliptica,Pomaderris elliptica,,Pomaderris,Rhamnaceae
populus-tremuloides,Populus tremuloides,American aspen,Populus,Salicaceae
populus-x-candicans,Populus × candicans,,Populus,Salicaceae
portulaca-oleracea,Portulaca oleracea,Common purslane,Portulaca,Portulacaceae
potentilla-anserina,Potentilla anserina,Anserina,Potentilla,Rosaceae
potentilla-erecta,Potentilla erecta,Cinquefoil,Potentilla,Rosaceae
primula-veris,Primula veris,Cowslip,Primula,Primulaceae
prunella-vulgaris,Prunella vulgaris,Heal-all,Prunella,Lamiaceae
prunus-armeniaca,Prunus armeniaca,Siberian apricot,Prunus,Rosaceae
prunus-avium,Prunus avium,Mazzard cherry,Prunus,Rosaceae
prunus-mume,Prunus mume,Japanese apricot,Prunus,Rosaceae
prunus-serotina,Prunus serotina,Rum cherry,Prunus,Rosaceae
pterocarpus-marsupium,Pterocarpus marsupium,,Pterocarpus,Fabaceae
ptychopetalum-olacoides,Ptychopetalum olacoides,,Ptychopetalum,Olacaceae
pulmonaria-officinalis,Pulmonaria officinalis,Jerusalem cowslip,Pulmonaria,Boraginaceae
pulsatilla-chinensis,Pulsatilla chinensis,,Pulsatilla,Ranunculaceae
punica-granatum,Punica granatum,Pomegranate,Punica,Lythraceae
quercus-robur,Quercus robur,Pedunculate oak,Quercus,Fagaceae
quillaja-saponaria,Quillaja saponaria,Murillo's-bark,Quillaja,Quillajaceae
ranunculus-ficaria,Ranunculus ficaria,,Ranunculus,Ranunculaceae
rauvolfia-serpentina,Rauvolfia serpentina,Ajmaline,Rauvolfia,Apocynaceae
rehmannia-glutinosa,Rehmannia glutinosa,,Rehmannia,Orobanchaceae
rheum-palmatum,Rheum palmatum,Chinese rhubarb,Rheum,Polygonaceae
rhodiola-rosea,Rhodiola rosea,,Rhodiola,Crassulaceae
rhus-glabra,Rhus glabra,Smooth sumac,Rhus,Anacardiaceae
ribes-nigrum,Ribes nigrum,Black currant,Ribes,Grossulariaceae
ricinus-communis,Ricinus communis,Palma-christi,Ricinus,Euphorbiaceae
rosa-canina,Rosa canina,Common-briar,Rosa,Rosaceae
